peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,height,width,average,type
-50.34704438096703,-46.52167269371811,-49.50731054717647,246.2989993689207,-50.119726876037355,-49.803244871021604,64278.0,64280.0,11087.10878010878,pos
-103.75175896029414,229.08609474601363,-101.6570834202125,183.74498475320414,-103.8958017919255,-103.5264353267855,22762.0,21982.0,6639.759129759131,pos
-14.505622630800529,-8.429688619954092,-13.35891411000673,65.27956673375664,-14.499429132041152,-14.485912240954072,11075.0,12073.0,1762.362567987568,pos
-13.078012774458935,-8.300090523874879,-12.737217558397582,59.97733070678723,-12.983127027243183,-12.878882822812644,32160.0,32995.0,5924.612839937839,pos
-44.27832976559417,-38.95293097234128,-38.25571234717725,209.914971574159,-44.23669801465438,-44.191300474391866,7409.0,6749.1493006993005,1046.8126806526807,pos
-55.42325472944203,-44.660291767664596,-53.09440504317492,263.14513319802955,-55.14635738938175,-54.820824268366245,25307.0,25307.0,4347.535547785547,pos
-55.454253496489024,-67.09426241039351,-53.98739301358048,287.4528469726764,-55.486968841689226,-55.42996921052385,40360.0,46325.0,7061.825369075369,pos
-56.88531359456516,18.549773092681257,-52.37833698737149,203.52290297532696,-56.732958478870785,-56.07606700720084,14758.0,22209.0,2235.9521173271173,pos
-83.19245728814307,125.92565838259763,-81.39058572219355,204.62473572166633,-83.0917153080764,-82.87563578585089,50519.0,66272.0,8052.343045843046,pos
-54.52514073050241,-48.24276360409668,-52.69223286858229,264.3997473528529,-54.528498991327865,-54.41111115834373,29626.0,29626.0,5944.213675213676,pos
-84.75619251610279,153.38418465635613,-83.3539591207797,184.0606132351179,-84.74866960556527,-84.58597664902645,47291.0,33538.0,2346.8293512043515,pos
-57.11135442378355,84.83581365490001,-56.14292347412337,142.69788052183685,-57.20445416758996,-57.07496211124004,32457.0,84222.0,-3096.2317404817404,neg
-66.48794746662884,-43.73914330981076,-65.22426103607994,307.52207317666733,-66.36245597611538,-65.70826538803203,51453.0,53673.0,7984.501942501943,neg
-54.23597922274375,-55.99868920690147,-49.87255150253271,268.37314944631635,-54.14685181207265,-54.11907770206575,13375.062937062938,14485.0,2518.867132867133,neg
-17.743802275500336,-16.860315881496543,-16.962071667124533,86.85062665449438,-17.54134010437419,-17.743096725998736,23112.0,23113.0,4082.9365151515153,neg
-47.99697018953809,-46.53171190696693,-46.630520178447256,236.76928629827623,-47.87700726013156,-47.73307676319241,39577.0,37210.0,6616.213900543901,neg
-70.74033802064194,-20.719174797241738,-69.670500879887,301.2171230306051,-70.61111697413146,-69.47599235870295,64172.0,58043.0,5600.956487956489,neg
-55.43128301162117,-49.534064052232736,-53.66957083796474,268.1028431927657,-55.00252593580995,-54.4653993551369,33468.0,34992.0,5654.546037296037,neg
-67.08728620520166,90.61348333031216,-65.77866340164063,176.43027745763132,-67.1921969050337,-66.98561427606735,55953.0,111351.0,9024.999222999222,neg
-47.81987011780763,-25.632750446233857,-44.911320025518755,214.03136251435313,-47.859444904863246,-47.80797701992957,18093.0,15287.0,2479.961344211344,neg
-74.76231847343035,42.11340578986771,-72.5145637831917,253.1387560071161,-73.80652671109225,-74.16875282926932,23229.0,34853.0,2332.33041958042,neg
-38.32812119929226,-42.54381863646191,-37.06872991923762,194.4023299238289,-38.153797895372605,-38.307862273464465,32284.0,35979.0,5108.865093240093,neg
-73.03279649328185,48.326104008817964,-69.57087150380431,237.09313771059456,-71.12165662191813,-71.6939171004084,27411.0,27859.0,1585.19493006993,neg
-67.29620020316305,-72.3931710629785,-65.5045234482734,339.7217309516207,-67.29103534938031,-67.23680088782544,38971.0,38972.0,6702.578962703963,neg
-60.92598516092197,-41.27222594923477,-58.114857557815576,278.98708697299963,-59.93648167642996,-58.73753662859738,20820.0,20818.0,3910.9072455322457,neg
-20.057771767040514,-21.085951081865264,-19.51912645929746,100.77018250131204,-20.05225646520369,-20.05507672790515,39984.0,39985.0,6766.733197358197,neg
-78.47039594276244,-11.617795589089914,-75.30137554946201,321.1018136720368,-78.31740545405835,-77.39484113666445,22602.0,22604.0,4806.143550893551,neg
-60.753427888021676,-44.50163280151607,-58.25408919802707,284.94183263905154,-60.763551113112214,-60.66913163837444,25755.0,24129.0,5006.0192307692305,neg
-65.75188195474803,-46.658537836091185,-64.49044576811366,308.4354459725322,-65.7842387258468,-65.75034168773223,51070.0,51070.0,7628.579545454545,neg
-62.625176723975954,-72.41969347106979,-54.496255546519095,314.264500607183,-62.54393642398238,-62.17943844163589,8723.0,8723.0,1735.9585275835277,neg
-27.24035932722218,-26.04076807336095,-25.393150105624613,133.0373391026792,-27.171274335165368,-27.191787261306143,15432.0,15432.0,2314.0625796425797,neg
-74.9775640852933,4.809351334328313,-73.22602947124288,293.6066541405109,-75.1092326583503,-75.10317925995275,33944.0,33943.0,8074.056332556332,neg
-42.75181427887825,-42.650626482943075,-41.44582141080123,212.2056036474779,-42.69995736871629,-42.65738410613901,33797.0,34559.0,5477.227952602952,neg
-61.0681909934649,-31.27672747739503,-57.793947810473384,272.24054236551405,-61.10579585277495,-60.995880231405735,17108.53146853147,17113.0,4166.076146076146,neg
-52.4018861055852,-79.31058808773814,-50.028276492040895,286.4311601899552,-52.35282768998925,-52.33758181460177,29321.0,33087.0,3566.583818958819,neg
-60.466528628779415,42.00255446063911,-59.376536970149274,198.82573405052315,-60.55864634916251,-60.4265765630713,37965.0,37964.0,13603.36761849262,neg
-61.405899405651766,-52.332157572994895,-59.58360813549845,295.8955442624782,-61.34198489234812,-61.231894255984955,35300.0,36023.0,6176.51719114219,neg
-82.26107475968922,47.59398385692867,-80.74462159173773,279.2025754130796,-81.83188658027181,-81.95897633830958,35873.0,35873.0,8429.990967365968,neg
-69.97522433984547,-45.43315953662745,-67.83153085030594,323.19284070394986,-69.98348441831381,-69.96944155885731,31297.107226107226,31297.115384615383,5672.442696192696,neg
