peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,type
-61.538915488742205,-35.77366208911292,-58.35542141049106,274.74549001861544,-60.26044389500391,-58.81704713526533,neg
-56.05494545832016,-59.30147599974086,-54.905213354520654,282.3401759750893,-56.07235392118381,-56.00618724132379,neg
-40.071385079518386,-38.720113430182636,-37.98610391613939,196.6552068379482,-39.96398417124017,-39.913620240867616,neg
-58.21775287906811,-61.599727690441775,-55.4658804273433,291.02728276901144,-58.04184741614289,-57.702074356015174,neg
-73.2253263034178,-51.26030568599324,-71.69181549912209,341.70239144666493,-73.0948895062,-72.43005445193181,neg
-35.24018648388854,-29.87831601817685,-30.75549779467473,166.1675805521748,-35.1646262472247,-35.12895400820995,neg
-59.59201813980576,34.40892556136764,-57.285862594407185,201.9529109591169,-59.78329066533145,-59.700665120940265,neg
-29.28255141107996,-26.782473962823214,-27.356659027026996,141.7473875714629,-29.10420614618009,-29.22149702435274,neg
-62.92025165595356,-43.74109297799897,-61.80071094430563,294.2731260137098,-62.92604785347766,-62.88502258197404,neg
-19.402389083010103,-19.60593714355482,-18.015985415136583,95.4816881683252,-19.059421602917507,-19.39795492370621,neg
-81.1590555600024,42.622383388462225,-79.06414707069928,280.20295828692593,-81.30728649946349,-81.29485254522294,neg
-49.86962678196138,-78.25187514616874,-44.29570176691109,271.9047026941706,-49.773185119360164,-49.71431387976933,neg
-59.85334612365368,5.936658627939029,-57.019681654009894,229.72180801676626,-59.999704076413394,-58.785734790628354,neg
-67.79003961111837,240.35314274187505,-65.06260672578773,27.01304992051792,-67.88205923690293,-66.63148708858374,neg
-7.030486372493986,233.0477873588732,-13.18789464482625,-198.59906530900653,-6.98649076512121,-7.243850267425196,neg
-55.94795495015722,-47.579206241349475,-54.50903158767541,268.4784155426311,-55.500616184413985,-54.94160657903503,neg
-57.64511329794521,-43.64767748688551,-55.27950620920647,271.6182407441026,-57.622681210025206,-57.42326254003996,neg
-57.32502352708372,-50.67723724247735,-55.08678014255132,274.21159396780075,-55.69105421287164,-55.43149884281658,neg
-61.51168575533646,-55.21602560415863,-59.917603972567875,299.4267627813099,-61.456881053529855,-61.32456639571724,neg
-34.40476130811856,-31.361919622982562,-30.495476095331323,164.86906388814938,-34.3356776676708,-34.27122919404603,neg
-57.96457082046934,75.86769546906781,-54.773568638630834,152.0757880485183,-57.76176187847741,-57.44358218000848,neg
-64.31991681567933,-72.23400378448827,-62.8131439140124,327.8016520106942,-64.28031916863253,-64.15426832788157,neg
-6.887254421588921,271.5489769090829,-10.019541861630668,-241.17940964773686,-6.724090484669796,-6.738680493456732,neg
-76.45621921947767,47.32110626973345,-73.32277770566299,253.42770810913515,-76.29193011065688,-74.67788734307123,neg
-75.11513434858817,20.273141745501317,-72.76131698351026,277.83759520672453,-75.18720332512184,-75.04708229500565,neg
-73.31418639337247,-25.874456245919017,-71.45575588970883,315.49064643663104,-73.11363104185926,-71.73261686577155,neg
