peak_amplitude,integral,phase_angle,cycle_number,rise_time,pulse_width,new_feature,new_feature2,type
-27.240359327222176,-26.04076807336095,-25.393150105624613,133.0373391026792,-27.17127433516536,-27.19178726130616,1.1416030596434954,-49.11816093800244,0
-74.97756408529347,4.809351334328326,-73.226029471243,293.6066541405113,-75.10923265835048,-75.10317925995294,-0.8581165784946401,-138.18862589027177,0
-42.751814278878335,-42.65062648294323,-41.44582141080132,212.2056036474783,-42.69995736871639,-42.65738410613913,1.1416219861227173,-125.56865532245106,0
-61.06819099346512,-31.27672747739514,-57.79394781047358,272.2405423655148,-61.10579585277516,-60.99588023140596,-0.8578169827739052,-130.11784935714627,0
-52.40188610558522,-79.310588087738,-50.02827649204084,286.43116018995505,-52.352827689989226,-52.33758181460183,1.1403016363138752,-144.29578332362237,0
-60.46652862877946,42.00255446063922,-59.37653697014932,198.82573405052352,-60.558646349162544,-60.42657656307136,-0.8576618276501011,-117.54881124412199,0
-61.40589940565205,-52.33215757299516,-59.58360813549871,295.8955442624794,-61.34198489234839,-61.23189425598523,-0.8580141788900282,-148.1925067760256,0
-82.2610747596892,47.59398385692863,-80.74462159173763,279.2025754130792,-81.83188658027179,-81.95897633830945,-0.8582354722090131,-129.07298005416501,0
-69.9752243398453,-45.43315953662742,-67.83153085030578,323.1928407039491,-69.98348441831367,-69.96944155885718,-0.8581075390396358,-184.66239402833767,0
-81.64868187354703,9.195434019480944,-78.78745773002431,312.08138324386834,-81.29581320631378,-79.54486445346444,-0.858235847360453,-154.07748555182607,0
-48.94271433867626,-46.21838041741373,-48.019563500531056,240.68291609300044,-48.83583501911309,-48.66642281726632,1.1416159199429585,-126.22266913243625,0
-58.66031662166018,-52.24133807650907,-57.08181601458856,285.2843698165193,-58.69113773480207,-58.60976136895932,-0.8571910572414785,-139.36870555868333,0
